Rank,Median Household Income,Zip , Population
837,56875,95689 ,904
839,56767,91754 ,"33,622"
840,56743,90034 ,"58,968"
841,56738,93552 ,"42,073"
842,56696,95640 ,"10,681"
843,56683,95488 ,309
844,56671,95076 ,"84,587"
845,56667,95720 ,60
846,56651,95834 ,"23,986"
847,56646,95355 ,"59,955"
848,56632,91803 ,"30,586"
849,56607,90660 ,"63,686"
849,56607,95549 ,869
851,56567,93015 ,"17,423"
852,56563,96009 ,329
853,56541,95973 ,"33,511"
854,56394,95937 ,"1,133"
855,56378,94609 ,"22,059"
856,56337,90046 ,"51,329"
857,56277,92392 ,"56,461"
858,56250,95636 ,771
858,56250,95830 ,762
860,56245,90717 ,"21,612"
861,56219,90621 ,"35,478"
862,56154,94589 ,"30,811"
863,56101,95690 ,"1,932"
864,56081,95547 ,"1,347"
865,56059,90241 ,"43,596"
866,56049,95603 ,"28,652"
867,55996,95726 ,"8,566"
868,55959,94608 ,"26,323"
869,55947,92505 ,"49,064"
870,55882,90704 ,"3,952"
871,55878,95623 ,"4,317"
872,55865,94565 ,"87,395"
873,55833,95010 ,"9,367"
874,55827,95833 ,"39,117"
875,55801,93117 ,"55,064"
876,55750,92239 ,428
877,55710,95667 ,"36,639"
878,55656,95670 ,"52,886"
879,55635,92111 ,"47,590"
880,55599,95320 ,"12,739"
881,55530,92078 ,"45,926"
882,55500,95323 ,998
883,55355,95987 ,"5,979"
884,55256,95608 ,"60,729"
885,55250,95045 ,"3,969"
886,55238,91343 ,"61,976"
887,55217,91340 ,"35,455"
888,55210,93033 ,"82,263"
889,55169,92365 ,"1,953"
890,55111,90814 ,"18,789"
891,55082,93906 ,"63,529"
892,55069,92567 ,"9,469"
