property_type,zipcode,price,beds,baths,sqft,lot_size,days_on_market,price_per_sqft,hoa_month,property_age,school_rating,school_count,median_income,hotness_score,supply_score,demand_score,university_count,barts,malls,universities,bedBath,AvgRoomSize
0,94566,1675000,4,4,3030,6904,136,553,53.0,32,8,9,126782,80.07,79.57,80.57,0,0,1,0,16,378.75
0,94566,1100000,3,2,1379,7914,106,798,0.0,64,8,9,126782,80.07,79.57,80.57,0,0,1,0,6,275.8
0,94566,1415000,3,2,2240,10987,127,632,0.0,24,8,9,126782,80.07,79.57,80.57,0,0,1,0,6,448.0
0,94566,1550000,4,3,2151,5760,143,721,0.0,53,8,9,126782,80.07,79.57,80.57,0,0,1,0,12,307.286
0,94566,955000,5,2,2165,8390,85,441,0.0,58,8,9,126782,80.07,79.57,80.57,0,0,1,0,10,309.286
0,94566,1850000,5,4,3246,12535,161,570,85.0,21,8,9,126782,80.07,79.57,80.57,0,0,1,0,20,360.667
0,94566,1850000,5,3,2600,21747,21,712,0.0,23,8,9,126782,80.07,79.57,80.57,0,0,1,0,15,325.0
0,94566,1220000,4,2,1601,7221,91,762,0.0,46,8,9,126782,80.07,79.57,80.57,0,0,1,0,8,266.833
0,94566,1327638,4,2,2050,14399,112,648,0.0,48,8,9,126782,80.07,79.57,80.57,0,0,1,0,8,341.667
0,94568,980000,4,4,2210,1850,100,443,232.0,3,8,11,119637,83.72,94.25,73.19,0,1,0,0,16,276.25
0,94568,1479800,4,3,2998,4746,63,494,220.0,4,8,11,119637,83.72,94.25,73.19,0,1,0,0,12,428.286
0,94568,1150000,4,3,2156,2990,136,533,237.0,3,8,11,119637,83.72,94.25,73.19,0,1,0,0,12,308.0
0,94566,1265950,4,3,2301,2688,14,550,189.0,1,8,9,126782,80.07,79.57,80.57,0,0,1,0,12,328.714
1,94588,670000,3,2,1257,0,65,533,564.0,30,9,6,134451,85.91,87.06,84.76,0,1,1,0,6,251.4
1,94588,575000,2,2,1043,0,50,551,499.0,30,9,6,134451,85.91,87.06,84.76,0,1,1,0,4,260.75
0,94566,1200000,3,2,1813,8829,57,662,0.0,50,8,9,126782,80.07,79.57,80.57,0,0,1,0,6,362.6
0,94588,1230000,4,2,2163,7000,127,569,0.0,36,9,6,134451,85.91,87.06,84.76,0,1,1,0,8,360.5
2,94588,655000,3,2,1130,901,24,580,292.0,48,9,6,134451,85.91,87.06,84.76,0,1,1,0,6,226.0
0,94566,982500,3,2,1419,5000,57,692,0.0,24,8,9,126782,80.07,79.57,80.57,0,0,1,0,6,283.8
0,94566,1175000,4,2,1690,6663,39,695,0.0,46,8,9,126782,80.07,79.57,80.57,0,0,1,0,8,281.667
2,94588,865000,3,2,1596,1901,42,542,420.0,36,9,6,134451,85.91,87.06,84.76,0,1,1,0,6,319.2
